"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Μην ξεχάσετε να χρησιμοποιήσετε την αναφορά στην πληρωμή σας. Χωρίς την αναφορά, η επεξεργασία της πληρωμής σας μπορεί να διαρκέσει περισσότερο χρόνο!"
"Account holder: %1","Κάτοχος λογαριασμού: %1"
"Account number: %1","Αριθμός λογαριασμού: %1"
"Amount: %1","Ποσό: %1"
"Amounts don't match. Possible fraud","Τα ποσά δεν ταιριάζουν. Πιθανή απάτη"
"API Details","Λεπτομέρειες API"
"API Key","Κλειδί API NoPayn"
"BIC: %1","BIC: %1"
"Branding","Επωνυμία"
"Bundle CA.cert file","Πακέτο αρχείου cURL ca.cert"
"Choose your bank:","Επιλέξτε την τράπεζά σας:"
"City: %1","Πόλη: %1"
"Credit Card","Πιστωτική κάρτα"
"Debug requests","Αιτήματα αποσφαλμάτωσης"
"Debug","Αποσφαλμάτωση"
"Description","Περιγραφή"
"Enabled","Ενεργοποιημένο"
"Especially for Developers you can enable the Debug mode.","Ειδικά για προγραμματιστές, μπορείτε να ενεργοποιήσετε τη λειτουργία αποσφαλμάτωσης."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Μπορείτε να περιορίσετε τη διαθεσιμότητα σε συγκεκριμένες διευθύνσεις IP, για παράδειγμα για σκοπούς δοκιμών (παράδειγμα: 128.0.0.1, 255.255.255.255). Εάν το αφήσετε κενό, η μέθοδος πληρωμής θα είναι διαθέσιμη σε όλες τις διευθύνσεις IP."
"Fill in your API Key below.","Αντιγράψτε το κλειδί API του ηλεκτρονικού σας καταστήματος από την πύλη εμπόρων σας."
"General","Γενικά"
"Generate invoice upon succesfull transaction","Δημιουργία τιμολογίου για επιτυχημένη συναλλαγή"
"Generate invoice upon successful transaction","Δημιουργία τιμολογίου μετά από επιτυχημένη συναλλαγή"
"Generate Invoice","Δημιουργία τιμολογίου"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Αυτόματη παροχή του URL webhook με κάθε παραγόμενη παραγγελία στο API NoPayn PSP."
"NoPayn Order ID: %1","Αναγνωριστικό παραγγελίας NoPayn: %1"
"NoPayn processes the payments for","Η NoPayn επεξεργάζεται τις πληρωμές για"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro ή V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Ρυθμίσεις"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Μη έγκυρη επιστροφή από το NoPayn."
"Invalid return, missing order id.","Μη έγκυρη επιστροφή, λείπει το αναγνωριστικό παραγγελίας."
"IP Filtering","Διεύθυνση(εις) IP για δοκιμές."
"Limit & Sorting","Ρυθμίσεις κινδύνου & ταξινόμηση"
"Live","Ζωντανά"
"Minimum Order Total","Ελάχιστο σύνολο παραγγελίας"
"New order email sent","Απεστάλη email νέας παραγγελίας"
"No order found for transaction id %1","Δεν βρέθηκε παραγγελία για το αναγνωριστικό συναλλαγής %1"
"Notified customer about invoice #%1","Ειδοποιήθηκε ο πελάτης για το τιμολόγιο #%1"
"Order not found","Η παραγγελία δεν βρέθηκε"
"OrderId not set","Το αναγνωριστικό παραγγελίας δεν έχει οριστεί"
"Payment Description","Περιγραφή πληρωμής"
"Payment failed with an error","Η πληρωμή απέτυχε με σφάλμα"
"Payment from Applicable Countries","Επιτρέψτε πληρωμή από εφαρμόσιμες χώρες"
"Payment from Specific Countries","Επιτρέψτε πληρωμή από συγκεκριμένες χώρες"
"Payment instructions:","Οδηγίες πληρωμής:"
"Payment is cancelled","Η πληρωμή ακυρώθηκε"
"Payment is completed","Η πληρωμή ολοκληρώθηκε"
"Payment is pending","Η πληρωμή εκκρεμεί"
"Place Order","Υποβολή παραγγελίας"
"Please use the following payment information:","Παρακαλώ χρησιμοποιήστε τις ακόλουθες πληροφορίες πληρωμής:"
"Product","Προϊόν"
"Reference: %1","Αναφορά: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Επιλύει το πρόβλημα όταν η διαδρομή curl.cacert δεν έχει οριστεί στο PHP.ini"
"Send Invoice Email","Αποστολή email τιμολογίου"
"Send order mail","Αποστολή email επιβεβαίωσης παραγγελίας στον αγοραστή"
"Set the notification for to Notify the customer with the Invoice","Αποστολή email τιμολογίου στον πελάτη σας"
"Set the order status before the customer is redirected to Payment Gateway","Ορίστε την κατάσταση της παραγγελίας πριν ο πελάτης ανακατευθυνθεί στην Πύλη Πληρωμών"
"Set the order status for Completed Payments","Ορίστε την κατάσταση της παραγγελίας για Ολοκληρωμένες Πληρωμές"
"Settings","Ρυθμίσεις"
"Something went wrong.","Κάτι πήγε στραβά."
"Sort Order","Σειρά ταξινόμησης"
"Status Pending","Κατάσταση Σε εκκρεμότητα"
"Status Processing","Κατάσταση Σε επεξεργασία"
"Test API Key","Δοκιμαστικό κλειδί API"
"Test","Δοκιμή"
"Thank you for your purchase!","Η παραγγελία σας έχει καταχωρηθεί με επιτυχία. Σας ευχαριστούμε για την παραγγελία σας!"
"The order was canceled","Η παραγγελία ακυρώθηκε"
"There was an error checking the transaction status.","Υπήρξε σφάλμα κατά τον έλεγχο της κατάστασης της συναλλαγής."
"There was a problem processing your payment because it expired. Please try again.","Υπήρξε πρόβλημα κατά την επεξεργασία της πληρωμής σας επειδή έληξε. Παρακαλώ δοκιμάστε ξανά."
"There was a problem processing your payment because it failed. Please try again.","Υπήρξε πρόβλημα κατά την επεξεργασία της πληρωμής σας επειδή απέτυχε. Παρακαλώ δοκιμάστε ξανά."
"There was a problem processing your payment because it has been cancelled. Please try again.","Υπήρξε πρόβλημα κατά την επεξεργασία της πληρωμής σας επειδή έχει ακυρωθεί. Παρακαλώ δοκιμάστε ξανά."
"Title","Τίτλος"
"Transaction Error","Σφάλμα συναλλαγής"
"Transaction not found","Η συναλλαγή δεν βρέθηκε"
"Use %id% for order increment id","Χρησιμοποιήστε το %id% για το αυξητικό αναγνωριστικό παραγγελίας"
"Version","Έκδοση"
"Webhook URL","URL Webhook"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Όταν οι ρυθμίσεις αποσφαλμάτωσης είναι ενεργοποιημένες, το αρχείο αποσφαλμάτωσης θα βρίσκεται στο: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Η παραγγελία σας έχει ληφθεί. Σας ευχαριστούμε για την αγορά σας! Θα αποστείλουμε την παραγγελία σας το συντομότερο δυνατό. Για οποιεσδήποτε ερωτήσεις, επικοινωνήστε με την εξυπηρέτηση πελατών μας."
"Your order has been received.","Η παραγγελία σας έχει ληφθεί."
"Your order %id% at %name%","Η παραγγελία σας %id% στο %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","Το κλειδί API δεν είναι έγκυρο: οι μέθοδοι πληρωμής NoPayn απενεργοποιήθηκαν"
"Refund is not completed.","Η επιστροφή χρημάτων δεν έχει ολοκληρωθεί."
"Male","Άνδρας"
"Female","Γυναίκα"
"Please select your gender","Παρακαλώ επιλέξτε το φύλο σας"
"Enter your date of birth","Εισάγετε την ημερομηνία γέννησής σας"
"our shop","το κατάστημά μας"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Ορισμένες πληρωμές θα λείπουν. Για να τις χρησιμοποιήσετε, ορίστε το %1 στα Καταστήματα -> Διαμόρφωση -> Γενικά -> Ρύθμιση νομίσματος"
"Show Payment Logo's", "Εμφάνιση λογότυπων πληρωμής"
"Maximum Order Total", "Μέγιστο σύνολο παραγγελίας"
"Set the order status for Authorized Payments", "Ορίστε την κατάσταση της παραγγελίας για Εξουσιοδοτημένες Πληρωμές"
"Status Authorized", "Κατάσταση Εξουσιοδοτημένη"
"Manual Capture", "Χειροκίνητη καταγραφή"
"Enable to authorize payment first, then capture after invoice is sent", "Ενεργοποιήστε για να εξουσιοδοτήσετε πρώτα την πληρωμή και στη συνέχεια να καταγράψετε μετά την αποστολή του τιμολογίου"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","Η NoPayn βοηθά τους επιχειρηματίες με τα καλύτερα, πιο έξυπνα και πιο αποτελεσματικά συστήματα πληρωμών."
