"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Älä unohda käyttää viitettä maksussasi. Ilman viitettä maksusi käsittely voi kestää kauemmin!"
"Account holder: %1","Tilin omistaja: %1"
"Account number: %1","Tilinumero: %1"
"Amount: %1","Summa: %1"
"Amounts don't match. Possible fraud","Summat eivät täsmää. Mahdollinen petos"
"API Details","API-tiedot"
"API Key","NoPayn API-avain"
"BIC: %1","BIC: %1"
"Branding","Brändäys"
"Bundle CA.cert file","Niputa cURL ca.cert-tiedosto"
"Choose your bank:","Valitse pankkisi:"
"City: %1","Kaupunki: %1"
"Credit Card","Luottokortti"
"Debug requests","Virheenkorjauspyynnöt"
"Debug","Virheenkorjaus"
"Description","Kuvaus"
"Enabled","Käytössä"
"Especially for Developers you can enable the Debug mode.","Erityisesti kehittäjille voit ottaa käyttöön virheenkorjaustilan."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Voit rajoittaa saatavuuden tiettyihin IP-osoitteisiin, esimerkiksi testausta varten (esimerkki: 128.0.0.1, 255.255.255.255). Jos jätät tämän tyhjäksi, maksutapa on käytettävissä kaikissa IP-osoitteissa."
"Fill in your API Key below.","Kopioi verkkokauppasi API-avain kauppiaportaalistasi."
"General","Yleinen"
"Generate invoice upon succesfull transaction","Luo lasku onnistuneesta tapahtumasta"
"Generate invoice upon successful transaction","Luo lasku onnistuneen tapahtuman jälkeen"
"Generate Invoice","Luo lasku"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Tarjoa automaattisesti webhook-URL jokaiselle luodulle tilaukselle NoPayn PSP API:lle."
"NoPayn Order ID: %1","NoPayn Tilaus-ID: %1"
"NoPayn processes the payments for","NoPayn käsittelee maksut"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro tai V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Asetukset"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Virheellinen palautus NoPaynilta."
"Invalid return, missing order id.","Virheellinen palautus, puuttuva tilaus-ID."
"IP Filtering","IP-osoite/osoitteet testausta varten."
"Limit & Sorting","Riskiasetukset ja lajittelu"
"Live","Live"
"Minimum Order Total","Tilauksen vähimmäissumma"
"New order email sent","Uuden tilauksen sähköposti lähetetty"
"No order found for transaction id %1","Tilausta ei löytynyt tapahtuma-ID:lle %1"
"Notified customer about invoice #%1","Ilmoitettu asiakkaalle laskusta #%1"
"Order not found","Tilausta ei löytynyt"
"OrderId not set","Tilaus-ID:tä ei ole asetettu"
"Payment Description","Maksun kuvaus"
"Payment failed with an error","Maksu epäonnistui virheellä"
"Payment from Applicable Countries","Salli maksu sovellettavista maista"
"Payment from Specific Countries","Salli maksu tietyistä maista"
"Payment instructions:","Maksuohjeet:"
"Payment is cancelled","Maksu on peruutettu"
"Payment is completed","Maksu on suoritettu"
"Payment is pending","Maksu on odottamassa"
"Place Order","Tee tilaus"
"Please use the following payment information:","Käytä seuraavia maksutietoja:"
"Product","Tuote"
"Reference: %1","Viite: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Ratkaisee ongelman, kun curl.cacert-polkua ei ole asetettu PHP.ini:ssä"
"Send Invoice Email","Lähetä laskusähköposti"
"Send order mail","Lähetä tilausvahvistussähköposti ostajalle"
"Set the notification for to Notify the customer with the Invoice","Lähetä laskusähköposti asiakkaallesi"
"Set the order status before the customer is redirected to Payment Gateway","Aseta tilauksen tila ennen kuin asiakas ohjataan maksuportaaliin"
"Set the order status for Completed Payments","Aseta tilauksen tila suoritetuille maksuille"
"Settings","Asetukset"
"Something went wrong.","Jokin meni pieleen."
"Sort Order","Lajittelujärjestys"
"Status Pending","Tila Odottaa"
"Status Processing","Tila Käsittelyssä"
"Test API Key","Testi API-avain"
"Test","Testi"
"Thank you for your purchase!","Tilauksesi on tehty onnistuneesti. Kiitos tilauksestasi!"
"The order was canceled","Tilaus peruutettiin"
"There was an error checking the transaction status.","Tapahtuman tilan tarkistamisessa tapahtui virhe."
"There was a problem processing your payment because it expired. Please try again.","Maksusi käsittelyssä oli ongelma, koska se vanhentui. Yritä uudelleen."
"There was a problem processing your payment because it failed. Please try again.","Maksusi käsittelyssä oli ongelma, koska se epäonnistui. Yritä uudelleen."
"There was a problem processing your payment because it has been cancelled. Please try again.","Maksusi käsittelyssä oli ongelma, koska se on peruutettu. Yritä uudelleen."
"Title","Otsikko"
"Transaction Error","Tapahtumavirhe"
"Transaction not found","Tapahtumaa ei löytynyt"
"Use %id% for order increment id","Käytä %id% tilauksen lisäys-ID:lle"
"Version","Versio"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Kun virheenkorjausasetukset on aktivoitu, virheenkorjaustiedosto sijaitsee: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Tilauksesi on vastaanotettu. Kiitos ostoksestasi! Lähetämme tilauksesi mahdollisimman pian. Jos sinulla on kysyttävää, ota yhteyttä asiakaspalveluumme."
"Your order has been received.","Tilauksesi on vastaanotettu."
"Your order %id% at %name%","Tilauksesi %id% kaupassa %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","API-avain ei ole kelvollinen: NoPayn-maksutavat poistettu käytöstä"
"Refund is not completed.","Hyvitystä ei ole suoritettu."
"Male","Mies"
"Female","Nainen"
"Please select your gender","Valitse sukupuolesi"
"Enter your date of birth","Syötä syntymäaikasi"
"our shop","kauppamme"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Joitakin maksutapoja puuttuu. Käyttääksesi niitä, aseta %1 kohdassa Kaupat -> Konfiguraatio -> Yleinen -> Valuutta-asetukset"
"Show Payment Logo's", "Näytä maksutapojen logot"
"Maximum Order Total", "Tilauksen enimmäissumma"
"Set the order status for Authorized Payments", "Aseta tilauksen tila valtuutetuille maksuille"
"Status Authorized", "Tila Valtuutettu"
"Manual Capture", "Manuaalinen talteenotto"
"Enable to authorize payment first, then capture after invoice is sent", "Ota käyttöön valtuuttaaksesi maksun ensin, sitten talteenotto laskun lähettämisen jälkeen"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn auttaa yrittäjiä parhailla, älykkäimmillä ja tehokkaimmilla maksujärjestelmillä."
