"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Ne felejtse el használni a hivatkozást a fizetéskor. A hivatkozás nélkül a fizetés feldolgozása több időt vehet igénybe!"
"Account holder: %1","Számlatulajdonos: %1"
"Account number: %1","Számlaszám: %1"
"Amount: %1","Összeg: %1"
"Amounts don't match. Possible fraud","Az összegek nem egyeznek. Lehetséges csalás"
"API Details","API részletek"
"API Key","NoPayn API kulcs"
"BIC: %1","BIC: %1"
"Branding","Márkaépítés"
"Bundle CA.cert file","cURL ca.cert fájl köteg"
"Choose your bank:","Válassza ki bankját:"
"City: %1","Város: %1"
"Credit Card","Bankkártya"
"Debug requests","Hibakeresési kérések"
"Debug","Hibakeresés"
"Description","Leírás"
"Enabled","Engedélyezve"
"Especially for Developers you can enable the Debug mode.","Különösen fejlesztők számára engedélyezheti a hibakeresési módot."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Korlátozhatja az elérhetőséget bizonyos IP-címekre, például tesztelési célokra (példa: 128.0.0.1, 255.255.255.255). Ha ezt üresen hagyja, a fizetési mód minden IP-cím számára elérhető lesz."
"Fill in your API Key below.","Másolja be webáruháza API kulcsát a kereskedői portálról."
"General","Általános"
"Generate invoice upon succesfull transaction","Számla generálása sikeres tranzakció esetén"
"Generate invoice upon successful transaction","Számla generálása sikeres tranzakció esetén"
"Generate Invoice","Számla generálása"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Automatikusan biztosítsa a webhook URL-t minden generált rendeléssel a NoPayn PSP API-nak."
"NoPayn Order ID: %1","NoPayn Rendelés azonosító: %1"
"NoPayn processes the payments for","A NoPayn feldolgozza a fizetéseket a következőhöz:"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro vagy V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Beállítások"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Érvénytelen visszatérés a NoPayn-tól."
"Invalid return, missing order id.","Érvénytelen visszatérés, hiányzó rendelésazonosító."
"IP Filtering","IP-cím(ek) teszteléshez."
"Limit & Sorting","Kockázati beállítások és rendezés"
"Live","Éles"
"Minimum Order Total","Minimális rendelési összeg"
"New order email sent","Új rendelés e-mail elküldve"
"No order found for transaction id %1","Nem található rendelés a(z) %1 tranzakció azonosítóhoz"
"Notified customer about invoice #%1","Értesítettük az ügyfelet a(z) #%1 számláról"
"Order not found","Rendelés nem található"
"OrderId not set","Rendelésazonosító nincs beállítva"
"Payment Description","Fizetés leírása"
"Payment failed with an error","A fizetés hibával meghiúsult"
"Payment from Applicable Countries","Fizetés engedélyezése az alkalmazható országokból"
"Payment from Specific Countries","Fizetés engedélyezése meghatározott országokból"
"Payment instructions:","Fizetési utasítások:"
"Payment is cancelled","A fizetés törölve"
"Payment is completed","A fizetés befejezve"
"Payment is pending","A fizetés függőben"
"Place Order","Rendelés leadása"
"Please use the following payment information:","Kérjük, használja a következő fizetési információkat:"
"Product","Termék"
"Reference: %1","Hivatkozás: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Megoldja a problémát, ha a curl.cacert útvonal nincs beállítva a PHP.ini-ben"
"Send Invoice Email","Számla e-mail küldése"
"Send order mail","Rendelés-visszaigazoló e-mail küldése a vásárlónak"
"Set the notification for to Notify the customer with the Invoice","Számla e-mail küldése az ügyfélnek"
"Set the order status before the customer is redirected to Payment Gateway","Állítsa be a rendelés állapotát, mielőtt az ügyfél átirányításra kerül a fizetési átjáróhoz"
"Set the order status for Completed Payments","Állítsa be a rendelés állapotát a befejezett fizetésekhez"
"Settings","Beállítások"
"Something went wrong.","Valami hiba történt."
"Sort Order","Rendezési sorrend"
"Status Pending","Állapot: Függőben"
"Status Processing","Állapot: Feldolgozás alatt"
"Test API Key","Teszt API kulcs"
"Test","Teszt"
"Thank you for your purchase!","Rendelését sikeresen leadta. Köszönjük a rendelését!"
"The order was canceled","A rendelés törölve lett"
"There was an error checking the transaction status.","Hiba történt a tranzakció állapotának ellenőrzésekor."
"There was a problem processing your payment because it expired. Please try again.","Probléma merült fel a fizetés feldolgozása során, mert lejárt. Kérjük, próbálja újra."
"There was a problem processing your payment because it failed. Please try again.","Probléma merült fel a fizetés feldolgozása során, mert sikertelen volt. Kérjük, próbálja újra."
"There was a problem processing your payment because it has been cancelled. Please try again.","Probléma merült fel a fizetés feldolgozása során, mert törölve lett. Kérjük, próbálja újra."
"Title","Cím"
"Transaction Error","Tranzakciós hiba"
"Transaction not found","Tranzakció nem található"
"Use %id% for order increment id","Használja a %id% értéket a rendelés növekményes azonosítójához"
"Version","Verzió"
"Webhook URL","Webhook URL"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Ha a hibakeresési beállítások aktiválva vannak, a hibakeresési fájl a következő helyen található: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Rendelését megkaptuk. Köszönjük a vásárlást! A lehető leghamarabb elküldjük a rendelését. Bármilyen kérdés esetén forduljon ügyfélszolgálatunkhoz."
"Your order has been received.","Rendelését megkaptuk."
"Your order %id% at %name%","Az Ön rendelése %id% a következőnél: %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","Az API kulcs érvénytelen: NoPayn fizetési módok deaktiválva"
"Refund is not completed.","A visszatérítés nem fejeződött be."
"Male","Férfi"
"Female","Nő"
"Please select your gender","Kérjük, válassza ki nemét"
"Enter your date of birth","Adja meg születési dátumát"
"our shop","üzletünk"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Néhány fizetési mód hiányozni fog. Használatukhoz állítsa be a %1 értéket a Áruházak -> Konfiguráció -> Általános -> Pénznem beállítás menüpontban"
"Show Payment Logo's", "Fizetési logók megjelenítése"
"Maximum Order Total", "Maximális rendelési összeg"
"Set the order status for Authorized Payments", "Állítsa be a rendelés állapotát az engedélyezett fizetésekhez"
"Status Authorized", "Állapot: Engedélyezve"
"Manual Capture", "Kézi rögzítés"
"Enable to authorize payment first, then capture after invoice is sent", "Engedélyezze először a fizetés engedélyezését, majd a rögzítést a számla elküldése után"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","A NoPayn segíti a vállalkozókat a legjobb, legokosabb és leghatékonyabb fizetési rendszerekkel."
