"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Non dimenticare di utilizzare il riferimento nel tuo pagamento. Senza il riferimento, l'elaborazione del tuo pagamento può richiedere più tempo!"
"Account holder: %1","Titolare del conto: %1"
"Account number: %1","Numero di conto: %1"
"Amount: %1","Importo: %1"
"Amounts don't match. Possible fraud","Gli importi non corrispondono. Possibile frode"
"API Details","Dettagli API"
"API Key","Chiave API NoPayn"
"BIC: %1","BIC: %1"
"Branding","Marchio"
"Bundle CA.cert file","Raggruppa file cURL ca.cert"
"Choose your bank:","Scegli la tua banca:"
"City: %1","Città: %1"
"Credit Card","Carta di credito"
"Debug requests","Richieste di debug"
"Debug","Debug"
"Description","Descrizione"
"Enabled","Abilitato"
"Especially for Developers you can enable the Debug mode.","Specialmente per gli sviluppatori, puoi abilitare la modalità Debug."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Puoi limitare la disponibilità a indirizzi IP specifici, ad esempio per scopi di test (esempio: 128.0.0.1, 255.255.255.255). Se lasci vuoto questo campo, il metodo di pagamento sarà disponibile per tutti gli indirizzi IP."
"Fill in your API Key below.","Copia la chiave API del tuo negozio online dal tuo portale commerciante."
"General","Generale"
"Generate invoice upon succesfull transaction","Genera una fattura per una transazione riuscita"
"Generate invoice upon successful transaction","Genera fattura dopo transazione riuscita"
"Generate Invoice","Genera fattura"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Fornisci automaticamente l'URL del webhook con ogni ordine generato all'API NoPayn PSP."
"NoPayn Order ID: %1","ID ordine NoPayn: %1"
"NoPayn processes the payments for","NoPayn elabora i pagamenti per"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro o V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Impostazioni"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Ritorno non valido da NoPayn."
"Invalid return, missing order id.","Ritorno non valido, ID ordine mancante."
"IP Filtering","Indirizzo/i IP per i test."
"Limit & Sorting","Impostazioni di rischio e ordinamento"
"Live","Live"
"Minimum Order Total","Totale minimo dell'ordine"
"New order email sent","Email di nuovo ordine inviata"
"No order found for transaction id %1","Nessun ordine trovato per l'ID transazione %1"
"Notified customer about invoice #%1","Cliente notificato sulla fattura #%1"
"Order not found","Ordine non trovato"
"OrderId not set","ID ordine non impostato"
"Payment Description","Descrizione del pagamento"
"Payment failed with an error","Il pagamento è fallito con un errore"
"Payment from Applicable Countries","Consenti pagamento da paesi applicabili"
"Payment from Specific Countries","Consenti pagamento da paesi specifici"
"Payment instructions:","Istruzioni di pagamento:"
"Payment is cancelled","Il pagamento è stato annullato"
"Payment is completed","Il pagamento è completato"
"Payment is pending","Il pagamento è in attesa"
"Place Order","Effettua ordine"
"Please use the following payment information:","Si prega di utilizzare le seguenti informazioni di pagamento:"
"Product","Prodotto"
"Reference: %1","Riferimento: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Risolve il problema quando il percorso curl.cacert non è impostato in PHP.ini"
"Send Invoice Email","Invia email di fattura"
"Send order mail","Invia un'email di conferma dell'ordine all'acquirente"
"Set the notification for to Notify the customer with the Invoice","Invia un'email di fattura al tuo cliente"
"Set the order status before the customer is redirected to Payment Gateway","Imposta lo stato dell'ordine prima che il cliente venga reindirizzato al Gateway di Pagamento"
"Set the order status for Completed Payments","Imposta lo stato dell'ordine per i Pagamenti Completati"
"Settings","Impostazioni"
"Something went wrong.","Qualcosa è andato storto."
"Sort Order","Ordinamento"
"Status Pending","Stato In Attesa"
"Status Processing","Stato In Elaborazione"
"Test API Key","Chiave API di Test"
"Test","Test"
"Thank you for your purchase!","Il tuo ordine è stato effettuato con successo. Grazie per il tuo ordine!"
"The order was canceled","L'ordine è stato annullato"
"There was an error checking the transaction status.","Si è verificato un errore durante il controllo dello stato della transazione."
"There was a problem processing your payment because it expired. Please try again.","Si è verificato un problema durante l'elaborazione del pagamento perché è scaduto. Per favore, riprova."
"There was a problem processing your payment because it failed. Please try again.","Si è verificato un problema durante l'elaborazione del pagamento perché è fallito. Per favore, riprova."
"There was a problem processing your payment because it has been cancelled. Please try again.","Si è verificato un problema durante l'elaborazione del pagamento perché è stato annullato. Per favore, riprova."
"Title","Titolo"
"Transaction Error","Errore di Transazione"
"Transaction not found","Transazione non trovata"
"Use %id% for order increment id","Usa %id% per l'ID incrementale dell'ordine"
"Version","Versione"
"Webhook URL","URL del Webhook"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Quando le impostazioni di debug sono attivate, il file di debug si troverà in: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Il tuo ordine è stato ricevuto. Grazie per il tuo acquisto! Spediremo il tuo ordine il prima possibile. Per qualsiasi domanda, contatta il nostro servizio clienti."
"Your order has been received.","Il tuo ordine è stato ricevuto."
"Your order %id% at %name%","Il tuo ordine %id% presso %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","La chiave API non è valida: metodi di pagamento NoPayn disattivati"
"Refund is not completed.","Il rimborso non è completato."
"Male","Maschio"
"Female","Femmina"
"Please select your gender","Seleziona il tuo genere"
"Enter your date of birth","Inserisci la tua data di nascita"
"our shop","il nostro negozio"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Alcuni pagamenti mancheranno. Per utilizzarli, imposta %1 in Negozi -> Configurazione -> Generale -> Configurazione valuta"
"Show Payment Logo's", "Mostra loghi di pagamento"
"Maximum Order Total", "Totale massimo dell'ordine"
"Set the order status for Authorized Payments", "Imposta lo stato dell'ordine per i Pagamenti Autorizzati"
"Status Authorized", "Stato Autorizzato"
"Manual Capture", "Cattura Manuale"
"Enable to authorize payment first, then capture after invoice is sent", "Abilita per autorizzare prima il pagamento, quindi cattura dopo l'invio della fattura"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn aiuta gli imprenditori con i sistemi di pagamento migliori, più intelligenti e più efficienti."
