"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Não se esqueça de usar a referência no seu pagamento. Sem a referência, o processamento do seu pagamento pode levar mais tempo!"
"Account holder: %1","Titular da conta: %1"
"Account number: %1","Número da conta: %1"
"Amount: %1","Valor: %1"
"Amounts don't match. Possible fraud","Os valores não correspondem. Possível fraude"
"API Details","Detalhes da API"
"API Key","Chave API NoPayn"
"BIC: %1","BIC: %1"
"Branding","Marca"
"Bundle CA.cert file","Agrupar arquivo cURL ca.cert"
"Choose your bank:","Escolha o seu banco:"
"City: %1","Cidade: %1"
"Credit Card","Cartão de crédito"
"Debug requests","Solicitações de depuração"
"Debug","Depuração"
"Description","Descrição"
"Enabled","Habilitado"
"Especially for Developers you can enable the Debug mode.","Especialmente para desenvolvedores, você pode habilitar o modo de Depuração."
"You can limit the availability to specific IP adressess, for instance for testing purposes (example: 128.0.0.1, 255.255.255.255). If you leave this empty the payment method will be available to all IP addresses.","Você pode limitar a disponibilidade a endereços IP específicos, por exemplo, para fins de teste (exemplo: 128.0.0.1, 255.255.255.255). Se você deixar isso vazio, o método de pagamento estará disponível para todos os endereços IP."
"Fill in your API Key below.","Copie a chave API da sua loja online do seu portal de comerciante."
"General","Geral"
"Generate invoice upon succesfull transaction","Gerar uma fatura para uma transação bem-sucedida"
"Generate invoice upon successful transaction","Gerar fatura após transação bem-sucedida"
"Generate Invoice","Gerar fatura"
"IBAN: %1","IBAN: %1"
"Include Webhook URL with every order creation","Fornecer automaticamente o URL do webhook com cada pedido gerado para a API NoPayn PSP."
"NoPayn Order ID: %1","ID do pedido NoPayn: %1"
"NoPayn processes the payments for","NoPayn processa os pagamentos para"
"NoPayn PSP - Mastercard, VISA, Maestro of V PAY","NoPayn PSP - Mastercard, VISA, Maestro ou V PAY"
"NoPayn PSP - Settings","NoPayn PSP - Configurações"
"NoPayn PSP","NoPayn PSP"
"Invalid return from NoPayn.","Retorno inválido do NoPayn."
"Invalid return, missing order id.","Retorno inválido, ID do pedido ausente."
"IP Filtering","Endereço(s) IP para testes."
"Limit & Sorting","Configurações de risco e ordenação"
"Live","Ao vivo"
"Minimum Order Total","Total mínimo do pedido"
"New order email sent","Email de novo pedido enviado"
"No order found for transaction id %1","Nenhum pedido encontrado para o ID de transação %1"
"Notified customer about invoice #%1","Cliente notificado sobre a fatura #%1"
"Order not found","Pedido não encontrado"
"OrderId not set","ID do pedido não definido"
"Payment Description","Descrição do pagamento"
"Payment failed with an error","O pagamento falhou com um erro"
"Payment from Applicable Countries","Permitir pagamento de países aplicáveis"
"Payment from Specific Countries","Permitir pagamento de países específicos"
"Payment instructions:","Instruções de pagamento:"
"Payment is cancelled","O pagamento foi cancelado"
"Payment is completed","O pagamento está concluído"
"Payment is pending","O pagamento está pendente"
"Place Order","Fazer pedido"
"Please use the following payment information:","Por favor, use as seguintes informações de pagamento:"
"Product","Produto"
"Reference: %1","Referência: %1"
"Resolves issue when curl.cacert path is not set in PHP.ini","Resolve o problema quando o caminho curl.cacert não está definido em PHP.ini"
"Send Invoice Email","Enviar email de fatura"
"Send order mail","Enviar um email de confirmação de pedido ao comprador"
"Set the notification for to Notify the customer with the Invoice","Enviar um email de fatura ao seu cliente"
"Set the order status before the customer is redirected to Payment Gateway","Definir o status do pedido antes que o cliente seja redirecionado para o Gateway de Pagamento"
"Set the order status for Completed Payments","Definir o status do pedido para Pagamentos Concluídos"
"Settings","Configurações"
"Something went wrong.","Algo deu errado."
"Sort Order","Ordem de classificação"
"Status Pending","Status Pendente"
"Status Processing","Status Em Processamento"
"Test API Key","Chave API de Teste"
"Test","Teste"
"Thank you for your purchase!","Seu pedido foi realizado com sucesso. Obrigado pelo seu pedido!"
"The order was canceled","O pedido foi cancelado"
"There was an error checking the transaction status.","Houve um erro ao verificar o status da transação."
"There was a problem processing your payment because it expired. Please try again.","Houve um problema ao processar seu pagamento porque ele expirou. Por favor, tente novamente."
"There was a problem processing your payment because it failed. Please try again.","Houve um problema ao processar seu pagamento porque ele falhou. Por favor, tente novamente."
"There was a problem processing your payment because it has been cancelled. Please try again.","Houve um problema ao processar seu pagamento porque ele foi cancelado. Por favor, tente novamente."
"Title","Título"
"Transaction Error","Erro de Transação"
"Transaction not found","Transação não encontrada"
"Use %id% for order increment id","Use %id% para o ID de incremento do pedido"
"Version","Versão"
"Webhook URL","URL do Webhook"
"When activated the debug file will be located in: var/log/gingerpay/debug.log","Quando as configurações de depuração estão ativadas, o arquivo de depuração estará localizado em: var/log/nopayn"
"Your order has been received. Thank you for your purchase! We will dispatch your order as soon as possible. For any questions, please contact our customer support.","Seu pedido foi recebido. Obrigado pela sua compra! Enviaremos seu pedido o mais rápido possível. Para qualquer dúvida, entre em contato com nosso suporte ao cliente."
"Your order has been received.","Seu pedido foi recebido."
"Your order %id% at %name%","Seu pedido %id% em %name%"
"API Key is not valid: NoPayn Online payment methods deactivated","A chave API não é válida: métodos de pagamento NoPayn desativados"
"Refund is not completed.","O reembolso não está concluído."
"Male","Masculino"
"Female","Feminino"
"Please select your gender","Por favor, selecione seu gênero"
"Enter your date of birth","Digite sua data de nascimento"
"our shop","nossa loja"
"Some payments will be missing. To use them, set %1 in Stores -> Configuration -> General -> Currency setup", "Alguns pagamentos estarão faltando. Para usá-los, defina %1 em Lojas -> Configuração -> Geral -> Configuração de moeda"
"Show Payment Logo's", "Mostrar logotipos de pagamento"
"Maximum Order Total", "Total máximo do pedido"
"Set the order status for Authorized Payments", "Definir o status do pedido para Pagamentos Autorizados"
"Status Authorized", "Status Autorizado"
"Manual Capture", "Captura Manual"
"Enable to authorize payment first, then capture after invoice is sent", "Habilitar para autorizar o pagamento primeiro, depois capturar após o envio da fatura"
"NoPayn helps entrepreneurs with the best, smartest and most efficient payment systems.","NoPayn ajuda empreendedores com os sistemas de pagamento mais eficientes, inteligentes e melhores."
